Landmark,Road,Landmark_road,Lat,Lon
flyover Naivasha ,Naivasha Nairobi Highway,flyover Naivasha  Naivasha Nairobi Highway,-0.69919,36.430731
foton,,foton ,-1.308665,36.82836
foton,Mombasa Rd,foton Mombasa Rd,-1.308893,36.828494
foton,Mombasa Road,foton Mombasa Road,-1.308893,36.828494
foton,Msa Rd,foton Msa Rd,-1.308893,36.828494
foton,Msa Road,foton Msa Road,-1.308893,36.828494
Galileo,Waiyaki Way,Galileo Waiyaki Way,-1.274209,36.81183
Galleria Mall,,Galleria Mall ,-1.342695,36.766634
Galleria Roundabout,,Galleria Roundabout ,-1.342695,36.766634
Gandhi Roundabout,Langata Rd,Gandhi Roundabout Langata Rd,-1.30725,36.819585
Gandhi Roundabout,Langata Road,Gandhi Roundabout Langata Road,-1.30725,36.819585
Gandhi Roundabout,Lang'ata Rd,Gandhi Roundabout Lang'ata Rd,-1.30725,36.819585
Gandhi Roundabout,Lang'ata Road,Gandhi Roundabout Lang'ata Road,-1.30725,36.819585
Garden City,Thika Rd,Garden City Thika Rd,-1.234677,36.873342
Garden City,Thika Road,Garden City Thika Road,-1.234677,36.873342
Garden City,Thika Superhighway,Garden City Thika Superhighway,-1.234677,36.873342
Garden City,Thika Super Highway,Garden City Thika Super Highway,-1.234677,36.873342
Garden City,Thika Highway,Garden City Thika Highway,-1.234677,36.873342
Garden City,Thikard,Garden City Thikard,-1.234677,36.873342
Gate house Nakuru,,Gate house Nakuru ,-0.282551,36.074228
Gateway Mall,Mombasa Rd,Gateway Mall Mombasa Rd,-1.364767,36.911643
Gateway Mall,Mombasa Road,Gateway Mall Mombasa Road,-1.364767,36.911643
Gateway Mall,Msa Rd,Gateway Mall Msa Rd,-1.364767,36.911643
Gateway Mall,Msa Road,Gateway Mall Msa Road,-1.364767,36.911643
Gateway Park,Mombasa Rd,Gateway Park Mombasa Rd,-1.325935,36.849502
Gateway Park,Mombasa Road,Gateway Park Mombasa Road,-1.325935,36.849502
Gateway Park,Msa Rd,Gateway Park Msa Rd,-1.325935,36.849502
Gateway Park,Msa Road,Gateway Park Msa Road,-1.325935,36.849502
Gems school,Magadi Rd,Gems school Magadi Rd,-1.363372,36.76509
Gems school,Magadi Road,Gems school Magadi Road,-1.363372,36.76509
